N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
152,TIGER 200,"34,665",485,-1.38%,0,"18,112","52,250",0.00,"213,720",N/A,N/A,
153,현대백화점,"76,800",700,-0.90%,"5,000","17,973","23,402",19.24,"32,584",8.62,4.36,
154,JB금융지주,"8,830",60,+0.68%,"5,000","17,394","196,983",27.89,"335,672",3.43,12.80,
155,코오롱인더,"63,200","1,900",-2.92%,"5,000","17,392","27,519",18.08,"101,200",9.97,8.20,
156,효성,"82,200",0,0.00%,"5,000","17,320","21,071",6.50,"11,284",4.26,18.04,
157,현대위아,"63,600","1,200",-1.85%,"5,000","17,296","27,195",6.82,"94,899",27.75,1.96,
158,대웅,"29,550",250,+0.85%,500,"17,181","58,142",4.56,"27,869",21.81,11.13,
159,TIGER 단기통안채,"100,870",5,0.00%,0,"17,114","16,966",0.70,"6,020",N/A,N/A,
160,롯데칠성,"183,000",500,-0.27%,500,"16,980","9,279",10.96,"7,558",11.71,9.96,
161,KG스틸,"16,850",250,+1.51%,"5,000","16,851","100,009",1.03,"2,221,122",8.83,17.99,
162,한전KPS,"37,250",350,+0.95%,200,"16,762","45,000",5.53,"127,702",22.21,9.12,
163,농심,"274,500","3,000",-1.08%,"5,000","16,697","6,083",12.70,"10,014",16.08,4.73,
164,LIG넥스원,"75,500",700,-0.92%,"5,000","16,610","22,000",8.93,"189,251",13.09,14.63,
165,동국제강,"17,350",100,-0.57%,"5,000","16,558","95,433",21.56,"364,909",3.01,23.41,
166,효성티앤씨,"380,500","4,500",+1.20%,"5,000","16,467","4,328",9.90,"27,388",2.36,76.22,
167,오뚜기,"447,000","7,000",-1.54%,"5,000","16,414","3,672",12.19,"1,089",11.25,8.91,
168,한샘,"68,900",200,+0.29%,"1,000","16,215","23,534",13.99,"41,353",30.07,9.10,
169,동원시스템즈,"55,200",900,-1.60%,"5,000","16,112","29,188",13.04,"21,545",37.27,6.95,
170,코스모신소재,"52,500",500,-0.94%,"1,000","15,796","30,087",7.01,"527,547",75.21,9.42,
171,일진하이솔루스,"43,150",200,-0.46%,500,"15,669","36,313",2.54,"110,904",161.61,4.97,
172,대덕전자,"31,700","1,500",-4.52%,500,"15,665","49,417",17.25,"701,028",18.79,9.55,
173,TIGER 미국S&P500,"12,500",55,-0.44%,0,"15,619","124,950",0.38,"1,511,158",N/A,N/A,
174,아이에스동서,"48,400",600,-1.22%,500,"14,952","30,893",4.96,"33,209",14.24,8.69,
175,신풍제약,"28,000","1,000",-3.45%,500,"14,836","52,985",5.96,"341,095",-84.08,-3.19,
176,KODEX 단기채권,"103,435",0,0.00%,0,"14,626","14,140",0.00,"13,012",N/A,N/A,
177,LX인터내셔널,"37,650",100,+0.27%,"5,000","14,593","38,760",24.17,"175,395",3.29,22.49,
178,LS ELECTRIC,"48,550",450,-0.92%,"5,000","14,565","30,000",14.79,"18,853",17.19,5.86,
179,DGB금융지주,"8,570",20,+0.23%,"5,000","14,496","169,146",49.34,"408,533",2.88,9.63,
180,PI첨단소재,"49,250",450,+0.92%,500,"14,463","29,366",10.60,"164,379",24.26,21.03,
181,한미반도체,"14,550",450,-3.00%,100,"14,393","98,920",5.62,"278,912",13.88,34.59,
182,ESR켄달스퀘어리츠,"6,750",100,+1.50%,"1,000","14,384","213,089",53.24,"355,534",48.21,1.34,
183,롯데리츠,"5,830",0,0.00%,500,"14,165","242,969",9.35,"89,153",38.36,1.59,
184,KODEX 종합채권(AA-이상)액티브,"103,450",130,+0.13%,0,"14,085","13,615",0.00,"2,554",N/A,N/A,
185,KODEX 삼성그룹,"8,845",180,-1.99%,0,"14,072","159,100",0.10,"287,031",N/A,N/A,
186,현대엘리베이,"33,700",500,-1.46%,"5,000","13,755","40,815",30.04,"68,965",12.16,10.62,
187,한국앤컴퍼니,"14,400",300,+2.13%,500,"13,671","94,935",9.77,"83,007",6.90,5.53,
188,한일시멘트,"19,600",200,-1.01%,500,"13,575","69,262",3.41,"47,668",21.03,5.89,
189,에스엘,"29,050",50,-0.17%,500,"13,493","46,449",13.97,"179,357",14.52,6.63,
190,TIGER 2차전지테마,"20,925",390,-1.83%,0,"13,465","64,350",1.07,"1,282,148",N/A,N/A,
191,KODEX 2차전지산업,"20,035",405,-1.98%,0,"13,464","67,200",0.75,"931,064",N/A,N/A,
192,아시아나항공,"18,000",150,-0.83%,"5,000","13,394","74,412",7.64,"364,992",-24.73,-47.21,
193,롯데렌탈,"36,550",450,-1.22%,"5,000","13,390","36,634",4.73,"58,210",9.92,12.28,
194,TIGER 미국필라델피아반도체나스닥,"9,735",275,-2.75%,0,"13,254","136,150",0.55,"1,762,513",N/A,N/A,
195,두산,"79,900",500,-0.62%,"5,000","13,203","16,524",11.64,"40,257",8.08,11.08,
196,TIGER MSCI Korea TR,"14,125",205,-1.43%,0,"13,066","92,500",4.76,125,N/A,N/A,
197,DL,"60,500",600,-0.98%,"5,000","12,678","20,956",11.72,"29,364",2.06,26.52,
198,삼성 레버리지 WTI원유 선물 ETN,"2,515",60,-2.33%,0,"12,676","504,000",0.00,"668,032",N/A,N/A,
199,케이카,"25,900",100,-0.38%,500,"12,454","48,087",16.61,"108,131",25.80,20.96,
200,티와이홀딩스,"24,350",150,-0.61%,500,"12,401","50,929",5.81,"16,198",7.54,11.58,
